Symbol,StopLoss,Target,Thesis,ReviewDate
AIMTRON,,,,
BSE,,,,
ADANIPOWER,,,,
SUNPHARMA,,,,
INA,,,,
SGFIN,,,,
MSPL,,,,
,,,,
GAUDIUMIVF,,,,
AEROFLEX,,,,
LAXMIINDIA,,,,
VVIPIL,,,,
TATAELXSI,,,,
SENORES,,,,
TDPOWERSYS,,,,
ABSLAMC,,,,
SANSERA,,,,
KEI,,,,
CREDITACC,,,,
HINDCOPPER,,,,
EIMCOELECO,,,,
RMC,,,,
VIKRAN,,,,
SUDEEPPHRM,,,,
DSSL,,,,
EXCELSOFT,,,,
M&M,,,,
ZENTEC,,,,
JLHL,,,,
FEDERALBNK,,,,
SGMART,,,,
TITAGARH,,,,
CNINFOTECH,,,,
KARURVYSYA,,,,
KPIGREEN,,,,
PGEL,,,,
AERON,,,,
HARIOMPIPE,,,,
SBCL,,,,
WAAREE,,,,
TARIL,,,,
NORTHARC,,,,
RKFORGE,,,,
AWFIS,,,,
HAVELLS,,,,
OMAXE,,,,
BDL,,,,
JSFB,,,,
SULA,,,,
HINDPETRO,,,,
UNIECOM,,,,
EXICOM,,,,
JASH,,,,
LTFOODS,,,,
TRANSRAILL,,,,
PRAJIND,,,,
MOLDTKPAC,,,,
GRSE,,,,
IOC,,,,
HITECH,,,,
PPL,,,,
BLS,,,,
HPL,,,,
AURIONPRO,,,,
SHALBY,,,,
DEEPINDS,,,,
UFO,,,,
FUSION,,,,
AXISBANK,,,,
LAXMIDENTL,,,,
BALAMINES,,,,
RACE,,,,
IDBI,,,,
TECHM,,,,
GSFC,,,,
ITC,,,,
YESBANK,,,,
VPRPL,,,,
RPOWER,,,,
BAJEL,,,,
SPIC,,,,
ITCHOTELS,,,,
