Period,Value
2024-04,536.04
2024-05,542.43
2024-06,548.18
2024-07,560.83
2024-08,568.49
2024-09,574.88
2024-10,565.21
2024-11,539.1
2024-12,522.8
2025-01,512.36
2025-02,523.62
2025-03,543.47
2025-04,555.94
2025-05,548.3
2025-06,530.18
2025-07,536.29
2025-08,541.65
2025-09,547.52
2025-10,541.08
2025-11,520.22
2025-12,505.63
2026-01,494.31
2026-02,507.66
2026-03,530.16
2026-04,554.62
