Period,Value
2024-04,643.16
2024-05,651.51
2024-06,657.16
2024-07,670.86
2024-08,681.69
2024-09,692.3
2024-10,684.49
2024-11,656.73
2024-12,640.25
2025-01,630.61
2025-02,640.73
2025-03,665.38
2025-04,688.13
2025-05,683.48
2025-06,661.16
2025-07,667.39
2025-08,674.66
2025-09,684.8
2025-10,682.13
2025-11,656.58
2025-12,640.28
2026-01,625.87
2026-02,640.3
2026-03,665.4
2026-04,698.49
