Period,Value
2024-04,3.44
2024-05,3.49
2024-06,3.54
2024-07,3.59
2024-08,3.65
2024-09,3.7
2024-10,3.75
2024-11,3.79
2024-12,3.83
2025-01,3.86
2025-02,3.88
2025-03,3.9
2025-04,3.91
2025-05,3.95
2025-06,3.99
2025-07,4.04
2025-08,4.09
2025-09,4.14
2025-10,4.18
2025-11,4.22
2025-12,4.26
2026-01,4.3
2026-02,4.35
2026-03,4.439
2026-04,4.4748
