Period,Value
2024-04,68.5
2024-05,68.4
2024-06,68.3
2024-07,68.2
2024-08,68.1
2024-09,68.0
2024-10,67.95
2024-11,67.9
2024-12,67.85
2025-01,67.82
2025-02,67.8
2025-03,67.78
2025-04,67.8
2025-05,67.6
2025-06,67.4
2025-07,67.3
2025-08,67.1
2025-09,67.0
2025-10,66.9
2025-11,67.0
2025-12,67.1
2026-01,67.0
2026-02,67.05
2026-03,67.02
2026-04,67.04
