Period,Value
2024-04,10.98
2024-05,11.28
2024-06,11.63
2024-07,12.01
2024-08,12.44
2024-09,12.89
2024-10,13.15
2024-11,13.3
2024-12,13.4
2025-01,13.49
2025-02,13.49
2025-03,13.5
2025-04,13.51
2025-05,13.88
2025-06,14.28
2025-07,14.71
2025-08,15.16
2025-09,15.63
2025-10,16.02
2025-11,16.36
2025-12,16.72
2026-01,17.08
2026-02,17.45
2026-03,17.82
2026-04,18.2051
