Period,Value
2024-04,18.9
2024-05,19.8
2024-06,18.3
2024-07,18.7
2024-08,19.0
2024-09,18.5
2024-10,19.9
2024-11,19.2
2024-12,20.3
2025-01,20.6
2025-02,18.9
2025-03,20.5
2025-04,19.8
2025-05,20.5
2025-06,19.2
2025-07,19.6
2025-08,19.9
2025-09,19.4
2025-10,20.8
2025-11,20.1
2025-12,21.2
2026-01,21.5
2026-02,19.8
2026-03,21.4
