Period,Value
2024-04,12.5
2024-05,12.2
2024-06,11.8
2024-07,10.6
2024-08,10.7
2024-09,11.5
2024-10,11.7
2024-11,11.1
2024-12,10.0
2025-01,10.2
2025-02,10.6
2025-03,10.3
2026-04,12.2
