Period,Value
2024-04,1.22
2024-05,1.24
2024-06,1.26
2024-07,1.28
2024-08,1.3
2024-09,1.32
2024-10,1.34
2024-11,1.36
2024-12,1.38
2025-01,1.39
2025-02,1.4
2025-03,1.41
2025-04,1.43
2025-05,1.45
2025-06,1.47
2025-07,1.49
2025-08,1.51
2025-09,1.53
2025-10,1.55
2025-11,1.58
2025-12,1.61
2026-01,1.64
2026-02,1.67
