Period,Value
2024-04,14.19
2024-05,14.51
2024-06,14.89
2024-07,15.28
2024-08,15.65
2024-09,16.03
2024-10,16.23
2024-11,16.38
2024-12,16.52
2025-01,16.63
2025-02,16.72
2025-03,16.85
2025-04,16.5
2025-05,16.61
2025-06,16.81
2025-07,17.13
2025-08,17.32
2025-09,17.46
2025-10,17.61
2025-11,17.76
2025-12,17.85
2026-01,17.95
2026-02,18.12
2026-03,18.27
2026-04,18.41
