Period,Value
2024-04,31.8
2024-05,31.9
2024-06,32.0
2024-07,32.1
2024-08,32.2
2024-09,32.3
2024-10,32.4
2024-11,32.5
2024-12,32.6
2025-01,32.7
2025-02,32.8
2025-03,32.9
2025-04,32.9698
2025-05,33.02
2025-06,33.08
2025-07,33.14
2025-08,33.2
2025-09,33.26
2025-10,33.32
2025-11,33.38
2025-12,33.44
2026-01,33.5
2026-02,33.56
2026-03,33.62
2026-04,33.68
