Period,Value
2024-04,19.0
2024-05,19.8
2024-06,17.4
2024-07,15.0
2024-08,13.6
2024-09,13.0
2024-10,12.8
2024-11,11.8
2024-12,11.5
2025-01,11.4
2025-02,11.0
2025-03,11.1
2026-04,15.0
