Period,Value
2024-04,11.9
2024-05,24.2
2024-06,36.1
2024-07,48.4
2024-08,60.2
2024-09,72.3
2024-10,84.8
2024-11,97.0
2024-12,110.0
2025-01,122.8
2025-02,136.5
2025-03,151.8
2025-04,12.6
2025-05,25.5
2025-06,38.2
2025-07,51.0
2025-08,63.3
2025-09,76.0
2025-10,89.2
2025-11,102.0
2025-12,115.8
2026-01,129.4
2026-02,143.8
2026-03,160.94
