Period,Value
2024-04,158.9
2024-05,165.3
2024-06,149.2
2024-07,143.0
2024-08,147.1
2024-09,136.3
2024-10,134.7
2024-11,132.6
2024-12,141.4
2025-01,150.8
2025-02,139.5
2025-03,155.2
2025-04,166.0
2025-05,172.4
2025-06,154.3
2025-07,152.8
2025-08,147.2
2025-09,140.6
2025-10,145.3
2025-11,137.8
2025-12,148.5
2026-01,157.9
2026-02,145.6
2026-03,161.7
