Period,Value
2024-04,20371
2024-05,20904
2024-06,21262
2024-07,23332
2024-08,23547
2024-09,24509
2024-10,25323
2024-11,25320
2024-12,26459
2025-01,26400
2025-02,25999
2025-03,25926
2025-04,26632
2025-05,27870
2025-06,28241
2025-07,23877
2025-08,24322
2025-09,24897
2025-10,25394
2025-11,24598
2025-12,26107
2026-01,26862
2026-02,25658
2026-03,26482
2026-04,27320
