Period,Value
2024-04,84.2
2024-05,84.1
2024-06,84.0
2024-07,83.95
2024-08,83.9
2024-09,83.85
2024-10,83.8
2024-11,83.75
2024-12,83.7
2025-01,83.68
2025-02,83.65
2025-03,83.62
2025-04,83.6
2025-05,83.5
2025-06,83.45
2025-07,83.4
2025-08,83.35
2025-09,83.3
2025-10,83.28
2025-11,83.25
2025-12,83.22
2026-01,83.2
2026-02,83.22
2026-03,83.24
2026-04,83.25
