Period,Value
2024-04,190.56
2024-05,193.2
2024-06,195.8
2024-07,198.4
2024-08,201.1
2024-09,204.3
2024-10,207.8
2024-11,211.6
2024-12,215.9
2025-01,220.4
2025-02,225.3
2025-03,231.1
2025-04,234.86
2025-05,237.12
2025-06,239.5
2025-07,242.1
2025-08,245.3
2025-09,248.6
2025-10,252.1
2025-11,256.4
2025-12,261.8
2026-01,266.3
2026-02,270.5
2026-03,274.69
