Period,Value
2024-04,12.5
2024-05,25.4
2024-06,38.0
2024-07,50.8
2024-08,63.2
2024-09,75.8
2024-10,89.0
2024-11,101.8
2024-12,115.5
2025-01,129.0
2025-02,143.0
2025-03,159.1
2025-04,13.2
2025-05,26.8
2025-06,40.1
2025-07,53.5
2025-08,66.4
2025-09,79.8
2025-10,93.6
2025-11,107.0
2025-12,121.5
2026-01,135.9
2026-02,151.2
2026-03,168.42
