Period,Value
2024-04,6.7
2024-05,6.9
2024-06,5.1
2024-07,6.3
2024-08,-1.5
2024-09,2.4
2024-10,3.7
2024-11,4.3
2024-12,4.4
2025-01,5.1
2025-02,2.9
2025-03,3.8
