Period,Value
2024-04,29.5
2024-05,33.8
2024-06,38.2
2024-07,36.5
2024-08,28.4
2024-09,30.6
2024-10,33.2
2024-11,29.0
2024-12,27.1
2025-01,29.8
2025-02,28.2
2025-03,31.5
2025-04,31.2
2025-05,35.8
2025-06,40.5
2025-07,38.4
2025-08,29.6
2025-09,32.1
2025-10,34.8
2025-11,30.5
2025-12,28.7
2026-01,31.4
2026-02,29.8
2026-03,33.14
