Period,Value
2024-04,-8671.0
2024-05,-25586.0
2024-06,26565.0
2024-07,32365.0
2024-08,7320.0
2024-09,-33015.0
2024-10,-94017.0
2024-11,-21612.0
2024-12,-16982.0
2025-01,-78027.0
2025-02,-34574.0
2025-03,-3973.0
2025-04,-22476.0
2025-05,-18227.0
2025-06,3244.0
2025-07,-18898.0
2025-08,-16034.0
2025-09,-27142.0
2025-10,-94017.0
2025-11,-22479.0
2025-12,-16982.0
2026-01,-78027.0
2026-02,-34574.0
2026-03,-3973.0
2026-04,4243.0
2026-05,-24828.92
