Date,Close
2026-06-15,766.75
2026-06-16,765.9
2026-06-17,763.14
2026-06-18,763.03
2026-06-19,767.69
2026-06-22,770.22
2026-06-23,760.24
2026-06-24,770.01
2026-06-25,770.55
2026-06-29,764.97
2026-06-30,774.32
2026-07-01,783.27
2026-07-02,784.72
2026-07-03,792.77
2026-07-06,794.54
2026-07-07,789.79
2026-07-08,770.26
2026-07-09,777.08
2026-07-10,791.02
2026-07-13,797.93
2026-07-14,782.05
2026-07-15,790.06
2026-07-16,787.12
2026-07-17,789.85
2026-07-20,789.84
2026-07-21,787.0
2026-07-22,771.89
2026-07-23,757.13
2026-07-24,752.31
2026-07-27,763.82
2026-07-28,760.33
2026-07-29,761.11
2026-07-30,751.01
2026-07-31,747.5
2026-08-03,753.74
2026-08-04,747.08
2026-08-05,756.45
2026-08-06,761.74
2026-08-07,755.79
2026-08-10,751.25
2026-08-11,752.21
2026-08-12,755.33
2026-08-13,754.86
2026-08-14,744.47
2026-08-17,744.53
2026-08-18,743.09
2026-08-19,746.27
2026-08-20,749.87
2026-08-21,745.74
2026-08-24,739.71
2026-08-25,744.86
2026-08-26,748.47
2026-08-27,749.36
2026-08-28,748.09
2026-08-31,738.99
2026-09-01,740.15
2026-09-02,745.32
2026-09-03,753.73
2026-09-04,763.2
2026-09-07,763.17
2026-09-08,761.25
2026-09-09,749.61
2026-09-10,752.97
2026-09-11,749.57
2026-09-15,734.36
2026-09-16,731.89
2026-09-17,729.22
2026-09-18,741.68
2026-09-21,747.12
