Date,Close
2026-06-15,2834.86
2026-06-16,2851.35
2026-06-17,2933.19
2026-06-18,2960.78
2026-06-19,2975.33
2026-06-22,2977.23
2026-06-23,2962.8
2026-06-24,2976.68
2026-06-25,2943.11
2026-06-29,2963.85
2026-06-30,2994.03
2026-07-01,3037.64
2026-07-02,3052.02
2026-07-03,3037.2
2026-07-06,3049.64
2026-07-07,3028.67
2026-07-08,3013.31
2026-07-09,3056.43
2026-07-10,3056.47
2026-07-13,3026.07
2026-07-14,3001.87
2026-07-15,3033.92
2026-07-16,3012.05
2026-07-17,2998.76
2026-07-20,3019.58
2026-07-21,3025.64
2026-07-22,3003.76
2026-07-23,2994.87
2026-07-24,2962.0
2026-07-27,3039.17
