Date,Close
2026-06-15,12727.92
2026-06-16,12875.91
2026-06-17,13013.01
2026-06-18,13047.53
2026-06-19,13152.19
2026-06-22,13302.32
2026-06-23,13171.32
2026-06-24,13092.22
2026-06-25,13041.34
2026-06-29,12881.39
2026-06-30,12875.09
2026-07-01,12912.7
2026-07-02,12915.69
2026-07-03,12852.17
2026-07-06,12852.2
2026-07-07,12719.93
2026-07-08,12391.0
2026-07-09,12518.69
2026-07-10,12689.07
2026-07-13,12673.54
2026-07-14,12434.91
2026-07-15,12424.53
2026-07-16,12374.38
2026-07-17,12364.66
2026-07-20,12396.01
2026-07-21,12380.37
2026-07-22,12206.07
2026-07-23,12042.81
2026-07-24,12056.76
2026-07-27,12098.72
2026-07-28,11971.55
2026-07-29,12166.64
2026-07-30,12074.7
2026-07-31,12117.56
2026-08-03,12322.36
2026-08-04,12266.19
2026-08-05,12346.53
2026-08-06,12349.33
2026-08-07,12321.02
2026-08-10,12301.93
2026-08-11,12216.91
2026-08-12,12146.32
2026-08-13,12137.44
2026-08-14,12077.23
2026-08-17,12155.27
2026-08-18,12095.18
2026-08-19,11956.5
2026-08-20,12066.5
2026-08-21,12159.55
2026-08-24,12145.82
2026-08-25,12158.12
2026-08-26,12192.41
2026-08-27,12128.55
2026-08-28,12130.77
2026-08-31,12051.33
2026-09-01,12023.16
2026-09-02,11949.22
2026-09-03,12084.7
2026-09-04,12105.58
2026-09-07,12096.8
