Date,Close
2026-06-15,54339.28
2026-06-16,54806.92
2026-06-17,54881.27
2026-06-18,54833.15
2026-06-19,55167.05
2026-06-22,55299.06
2026-06-23,54988.63
2026-06-24,56193.39
2026-06-25,56373.24
2026-06-29,56037.77
2026-06-30,56716.05
2026-07-01,56879.77
2026-07-02,57325.2
2026-07-03,57755.67
2026-07-06,58369.71
2026-07-07,58590.21
2026-07-08,56655.07
2026-07-09,57154.81
2026-07-10,57937.1
2026-07-13,57984.33
2026-07-14,56899.22
2026-07-15,57488.28
2026-07-16,57486.37
2026-07-17,57969.11
2026-07-20,57866.88
2026-07-21,58529.59
2026-07-22,58141.7
2026-07-23,57235.02
2026-07-24,56503.63
2026-07-27,57900.13
