Date,Close
2026-06-15,4443.48
2026-06-16,4424.86
2026-06-17,4414.84
2026-06-18,4488.07
2026-06-19,4532.0
2026-06-22,4542.94
2026-06-23,4520.75
2026-06-24,4542.26
2026-06-25,4551.84
2026-06-29,4566.14
2026-06-30,4593.13
2026-07-01,4594.24
2026-07-02,4637.08
2026-07-03,4694.56
2026-07-06,4664.4
2026-07-07,4618.92
2026-07-08,4540.04
2026-07-09,4611.67
2026-07-10,4636.0
2026-07-13,4627.39
2026-07-14,4630.56
2026-07-15,4662.84
2026-07-16,4637.25
2026-07-17,4609.97
2026-07-20,4620.53
2026-07-21,4636.37
2026-07-22,4591.93
2026-07-23,4575.42
2026-07-24,4577.44
2026-07-27,4638.05
